Kasper Scmeichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition XG,,,,,,,,,,,,,,,,,,,
26/02/2022,Away,W 1-0,Manchester City,Everton,2,0,2,100,1,0.4,0.8,,,,,,,,,,,,,,,,,,,
06/03/2022,Home,W 4-1,Manchester City,Manchester Utd,2,1,1,50,0,1,0.5,,,,,,,,,,,,,,,,,,,
14/03/2022,Away,D 0-0,Manchester City,Crystal Palace,1,0,1,100,1,0,0.8,,,,,,,,,,,,,,,,,,,
02/04/2022,Away,W 2-0,Manchester City,Burnley,1,0,1,100,1,0.1,0.1,,,,,,,,,,,,,,,,,,,
10/04/2022,Home,D 2-2,Manchester City,Liverpool,4,2,2,50,0,2.2,1,,,,,,,,,,,,,,,,,,,
20/04/2022,Home,W 3-0,Manchester City,Brighton,1,0,1,100,1,0.2,0.1,,,,,,,,,,,,,,,,,,,
23/04/2022,Home,W 5-1,Manchester City,Watford,2,1,1,50,0,0.8,0.5,,,,,,,,,,,,,,,,,,,
30/04/2022,Away,W 4-0,Manchester City,Leeds United,1,0,1,100,1,0.3,1.2,,,,,,,,,,,,,,,,,,,
08/05/2022,Home,W 5-0,Manchester City,Newcastle Utd,3,0,3,100,1,0.8,0.9,,,,,,,,,,,,,,,,,,,
11/05/2022,Away,W 5-1,Manchester City,Wolves,3,1,2,66.7,0,0.7,0.5,,,,,,,,,,,,,,,,,,,
15/05/2022,Away,D 2-2,Manchester City,West Ham,2,2,0,0,0,1.6,1.3,,,,,,,,,,,,,,,,,,,
22/05/2022,Home,W 3-2,Manchester City,Aston Villa,2,2,0,0,0,0.7,0.3,,,,,,,,,,,,,,,,,,,
,,,,Totals,83,26,56,75.56470588,20,24.8,26.1,,,,,,,,,,,,,,,,,,,
Edouard Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition xG,,,,,,,,,,,,,,,,,,,
14/08/2021,Home,W 3-0,Chelsea,Crystal Palace,1,0,1,100,1,0.1,0.3,,,,,,,,,,,,,,,,,,,
22/08/2021,Away,W 2-0,Chelsea,Arsenal,3,0,3,100,1,0,0.3,,,,,,,,,,,,,,,,,,,
28/08/2021,Away,D 1-1,Chelsea,Liverpool,6,1,6,100,0,1.1,2.6,,,,,,,,,,,,,,,,,,,
11/09/2021,Home,W 3-0,Chelsea,Aston Villa,6,0,6,100,1,0.8,1.5,,,,,,,,,,,,,,,,,,,
25/09/2021,Home,L 0-1,Chelsea,Manchester City,3,1,2,66.7,0,0.9,1.7,,,,,,,,,,,,,,,,,,,
02/10/2021,Home,W 3-1,Chelsea,Southampton,1,1,1,100,0,1.1,1.3,,,,,,,,,,,,,,,,,,,
16/10/2021,Away,W 1-0,Chelsea,Brentford,5,0,4,100,1,1.7,1.6,,,,,,,,,,,,,,,,,,,
23/10/2021,Home,W 7-0,Chelsea,Norwich City,1,0,1,100,1,0.1,0.2,,,,,,,,,,,,,,,,,,,
30/10/2021,Away,W 3-0,Chelsea,Newcastle Utd,1,0,1,100,1,0,0.3,,,,,,,,,,,,,,,,,,,
06/11/2021,Home,D 1-1,Chelsea,Burnley,2,1,1,50,0,1.2,1,,,,,,,,,,,,,,,,,,,
20/11/2021,Away,W 3-0,Chelsea,Leicester City,3,0,3,100,1,0.2,0.4,,,,,,,,,,,,,,,,,,,
28/11/2021,Home,D 1-1,Chelsea,Manchester Utd,2,1,1,50,0,1.5,0.7,,,,,,,,,,,,,,,,,,,
01/12/2021,Away,W 2-1,Chelsea,Watford,6,1,5,83.3,0,1.3,1,,,,,,,,,,,,,,,,,,,
04/12/2021,Away,L 2-3,Chelsea,West Ham,3,3,1,33.3,0,1.3,1.8,,,,,,,,,,,,,,,,,,,
11/12/2021,Home,W 3-2,Chelsea,Leeds United,4,2,3,75,0,1.1,1.4,,,,,,,,,,,,,,,,,,,
16/12/2021,Home,D 1-1,Chelsea,Everton,3,1,2,66.7,0,1.1,0.4,,,,,,,,,,,,,,,,,,,
19/12/2021,Away,D 0-0,Chelsea,Wolves,1,0,1,100,1,0.4,0.3,,,,,,,,,,,,,,,,,,,
